05-04-2023 23:00:47.861 [main] INFO  com.bank.management.ElkApplication.logStarting - Starting ElkApplication using Java 1.8.0_321 on Shradhas-MacBook-Pro.local with PID 19797 (/Users/shradhayewale/295B/Final/latest_4APR/Anomaly-Detection/log-collector-application/Bank-Management-Spring-ELK/target/classes started by shradhayewale in /Users/shradhayewale/295B/Final/latest_4APR/Anomaly-Detection/log-collector-application/Bank-Management-Spring-ELK)
09-04-2023 23:50:30.303 [http-nio-8080-exec-2] INFO  c.b.management.services.UserService.getAllCards - Get all cards details response.... => [{"cardHolderName":"John Doe","id":1,"userId":1,"cardNumber":"1234567890123456","expirationDate":"12\/24"},{"cardHolderName":"Jane Doe","id":2,"userId":2,"cardNumber":"2345678901234567","expirationDate":"01\/23"},{"cardHolderName":"Bob Smith","id":3,"userId":3,"cardNumber":"3456789012345678","expirationDate":"03\/25"},{"cardHolderName":"Alice Johnson","id":4,"userId":4,"cardNumber":"4567890123456789","expirationDate":"06\/23"},{"cardHolderName":"Michael Brown","id":5,"userId":5,"cardNumber":"5678901234567890","expirationDate":"09\/24"},{"cardHolderName":"Emily Davis","id":6,"userId":6,"cardNumber":"6789012345678901","expirationDate":"11\/25"},{"cardHolderName":"David Wilson","id":7,"userId":7,"cardNumber":"7890123456789012","expirationDate":"02\/23"},{"cardHolderName":"Sophia Garcia","id":8,"userId":8,"cardNumber":"8901234567890123","expirationDate":"08\/23"},{"cardHolderName":"Daniel Martinez","id":9,"userId":9,"cardNumber":"9012345678901234","expirationDate":"05\/25"},{"cardHolderName":"Olivia Hernandez","id":10,"userId":10,"cardNumber":"0123456789012345","expirationDate":"10\/24"}]
10-04-2023 19:56:55.286 [main] INFO  com.bank.management.ElkApplication.logStarting - Starting ElkApplication using Java 1.8.0_321 on Shradhas-MacBook-Pro.local with PID 72691 (/Users/shradhayewale/295B/Final/latest_4APR/Anomaly-Detection/log-collector-application/Bank-Management-Spring-ELK/target/classes started by shradhayewale in /Users/shradhayewale/295B/Final/latest_4APR/Anomaly-Detection/log-collector-application/Bank-Management-Spring-ELK)
10-04-2023 19:56:56.007 [main] INFO  com.bank.management.ElkApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
10-04-2023 19:57:02.051 [main] INFO  com.bank.management.ElkApplication.logStarted - Started ElkApplication in 7.632 seconds (JVM running for 9.731)
10-04-2023 19:57:59.335 [http-nio-8080-exec-1] INFO  c.b.m.controller.CardController.getAllCards - Inside getAllCards Controller
10-04-2023 19:58:01.018 [http-nio-8080-exec-1] INFO  c.b.management.services.UserService.getAllCards - Fetching ALL card details...
10-04-2023 19:58:01.138 [http-nio-8080-exec-1] INFO  c.b.management.services.UserService.getAllCards - Get all cards details response.... => [{"cardHolderName":"John Doe","id":1,"userId":1,"cardNumber":"1234567890123456","expirationDate":"12\/24"},{"cardHolderName":"Jane Doe","id":2,"userId":2,"cardNumber":"2345678901234567","expirationDate":"01\/23"},{"cardHolderName":"Bob Smith","id":3,"userId":3,"cardNumber":"3456789012345678","expirationDate":"03\/25"},{"cardHolderName":"Alice Johnson","id":4,"userId":4,"cardNumber":"4567890123456789","expirationDate":"06\/23"},{"cardHolderName":"Michael Brown","id":5,"userId":5,"cardNumber":"5678901234567890","expirationDate":"09\/24"},{"cardHolderName":"Emily Davis","id":6,"userId":6,"cardNumber":"6789012345678901","expirationDate":"11\/25"},{"cardHolderName":"David Wilson","id":7,"userId":7,"cardNumber":"7890123456789012","expirationDate":"02\/23"},{"cardHolderName":"Sophia Garcia","id":8,"userId":8,"cardNumber":"8901234567890123","expirationDate":"08\/23"},{"cardHolderName":"Daniel Martinez","id":9,"userId":9,"cardNumber":"9012345678901234","expirationDate":"05\/25"},{"cardHolderName":"Olivia Hernandez","id":10,"userId":10,"cardNumber":"0123456789012345","expirationDate":"10\/24"}]
10-04-2023 19:59:27.647 [http-nio-8080-exec-5] INFO  c.b.m.controller.CardController.getAllCardsErrorResponse - Inside getAllCards Error Controller
10-04-2023 19:59:27.663 [http-nio-8080-exec-5] INFO  c.b.management.services.UserService.getAllCardsErrorResponse - Fetching ALL card details...
10-04-2023 19:59:27.669 [http-nio-8080-exec-5] ERROR c.b.management.services.UserService.getAllCardsErrorResponse - Error occurred in fetching all cards details... => card1.json (No such file or directory)
